Degree_Program,Subject,Subject_Code,Avg_Grade,Median_Grade,Total_Students,Years_Taught
AI,Acceleració de la Computació en IA,106592,0.0,0.0,7,1
AI,Agents Autònoms,106587,3.9583333333333335,2.5,72,2
AI,Anàlisi de Grafs i Xarxes,106567,4.49922480620155,6.0,129,3
AI,Aprenentatge Automàtic Avançat,106575,7.733333333333333,7.4,21,1
AI,Aprenentatge i Processament del Llenguatge Natural,106585,6.603448275862069,8.5,29,2
AI,Crèdits Reconeguts,70003,0.0,0.0,2,1
AI,Crèdits Reconeguts,70006,0.0,0.0,2,1
AI,Crèdits Reconeguts,70007,0.0,0.0,2,1
AI,Crèdits Reconeguts,70008,0.0,0.0,2,1
AI,Crèdits Reconeguts,70009,0.0,0.0,1,1
AI,Crèdits Reconeguts,70010,0.0,0.0,1,1
AI,Crèdits Reconeguts,70015,0.0,0.0,3,2
AI,Crèdits Reconeguts,70033,3.2384615384615385,0.0,13,2
AI,Crèdits Reconeguts,70034,5.75,6.4,6,2
AI,Crèdits Reconeguts,70035,4.533333333333334,5.3,3,1
AI,Crèdits Reconeguts,70051,4.66,7.3,5,2
AI,Crèdits Reconeguts,70069,0.0,0.0,12,2
AI,Crèdits Reconeguts,75007,0.0,0.0,2,1
AI,Crèdits Reconeguts,75010,4.633333333333334,5.4,3,1
AI,Crèdits Reconeguts,75011,7.05,7.05,2,1
AI,Enginyeria de Dades,106565,5.800578034682081,7.7,173,4
AI,Enginyeria de Software,106561,0.34545454545454546,0.0,22,1
AI,Fonaments Matemàtics I,106550,6.738372093023256,6.8,172,4
AI,Fonaments Matemàtics II,106551,4.559659090909091,5.85,176,4
AI,Fonaments d'Aprenentatge Automàtic,106572,7.758196721311475,7.9,122,3
AI,Fonaments de Computació,106555,5.986127167630057,7.5,173,4
AI,Fonaments de Programació I,106553,7.63125,7.75,176,4
AI,Fonaments de Programació II,106554,5.395530726256983,7.1,179,4
AI,Fonaments de la Visió per Computador,106581,7.579674796747967,7.8,123,3
AI,Fonaments del Llenguatge Natural,106584,4.757936507936508,6.85,126,3
AI,Gestió de Dades,106566,8.388,8.4,75,2
AI,Gestió de Projectes,106562,7.233766233766234,7.6,77,2
AI,Innovació Social,106598,4.185135135135135,0.0,74,2
AI,Interacció Social,106579,7.270588235294118,8.1,34,1
AI,Introducció a la IA,106558,7.053107344632769,7.2,177,4
AI,Lògica Computacional,106569,6.85632183908046,6.55,174,4
AI,Ment i Cervell I,106578,7.18595041322314,7.5,121,3
AI,Navegació Autònoma,106590,0.5714285714285714,0.0,14,2
AI,Paradigmes d'Aprenentatge Automàtic,106574,8.106666666666666,8.2,30,2
AI,Probabilitat i Estadística,106552,6.2105263157894735,8.1,171,4
AI,Processos Cognitius,106577,6.826857142857143,7.0,175,4
AI,Programació Distribuïda,106556,4.059210526315789,0.0,76,2
AI,Programació Paral·lela,106557,3.051612903225806,0.0,31,2
AI,Projecte de Síntesi I,106593,5.480172413793104,7.75,116,3
AI,Projecte de Síntesi II,106594,3.814864864864865,0.0,74,2
AI,Pràctiques Professionals,106600,6.448648648648648,9.3,37,2
AI,Reconeixement de Mobilitat,150201,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150501,0.0,0.0,4,1
AI,Reconeixement de Mobilitat,150502,0.0,0.0,2,1
AI,Reconeixement de Mobilitat,150503,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150504,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150505,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150506,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150601,0.0,0.0,5,1
AI,Reconeixement de Mobilitat,150602,0.0,0.0,2,1
AI,Reconeixement de Mobilitat,150603,0.0,0.0,2,1
AI,Reconeixement de Mobilitat,150701,0.0,0.0,1,1
AI,Reconeixement de Mobilitat,150901,6.0,6.0,1,1
AI,Reconeixement de Mobilitat,151001,4.333333333333333,6.0,3,2
AI,Reconeixement de Mobilitat,151002,4.666666666666667,6.0,3,2
AI,Reconeixement de Mobilitat,151003,2.5,2.5,2,1
AI,Reconeixement de Mobilitat,151501,6.0,6.0,1,1
AI,Reconeixement de Mobilitat,152401,8.0,8.0,1,1
AI,Regulació de la IA,106560,7.198630136986301,7.0,73,2
AI,Representació del Coneixement,106564,5.053389830508475,7.2,118,3
AI,Reptes i Aplicacions de la IA I,106595,7.017647058823529,7.7,34,1
AI,Resolució de Problemes,106570,6.38015873015873,6.75,126,3
AI,Robots Intel·ligents,106589,7.904054054054054,7.95,74,2
AI,Seguretat i Privacitat de Dades,106568,8.145454545454545,9.0,11,1
AI,Sistemes Multiagent,106588,9.5,9.5,1,1
AI,Treball de Final de Grau,106601,0.5470588235294118,0.0,34,1
AI,Visió 3D i Anàlisi del Moviment,106583,0.0,0.0,12,1
AI,Visió i Aprenentatge,106582,7.8062499999999995,7.8,48,2
AI,Xarxes Neuronals i Aprenentatge Profund,106573,4.9573770491803275,6.35,122,3
AI,Ètica,106559,8.436065573770492,8.8,122,3
Computer Engineering,Anglès Professional I,102762,8.12051282051282,8.350000000000001,156,5
Computer Engineering,Anglès Professional II,102761,5.731942446043165,7.3,139,5
Computer Engineering,Anàlisi i Disseny d'Algorismes,102783,5.206589147286822,6.2,387,5
Computer Engineering,Aplicacions Multidisciplinàries de les Telecomunicacions I,102695,8.8,8.8,1,1
Computer Engineering,Aplicacions de la Teoria de Codis,105074,5.970454545454545,6.6,44,5
Computer Engineering,Aprenentatge Computacional,102787,6.770772946859903,6.8,414,5
Computer Engineering,Arquitectura de Computadors,102775,4.296251018744906,5.1,1227,5
Computer Engineering,Arquitectura i Tecnologies de Software,102790,5.576349614395887,7.0,389,5
Computer Engineering,Arquitectures Avançades,102778,4.73312101910828,5.4,157,5
Computer Engineering,Bases de Dades,102744,6.317816091954024,6.9,1044,5
Computer Engineering,Compiladors,102782,4.253571428571428,5.65,364,5
Computer Engineering,Computació d'Altes Prestacions,102777,4.931386861313869,6.3,137,5
Computer Engineering,"Coneixement, Raonament i Incertesa",102786,6.85425219941349,7.3,341,5
Computer Engineering,Crèdits Reconeguts,70000,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,70003,0.0,0.0,25,5
Computer Engineering,Crèdits Reconeguts,70004,0.0,0.0,12,4
Computer Engineering,Crèdits Reconeguts,70005,0.0,0.0,5,3
Computer Engineering,Crèdits Reconeguts,70006,0.0,0.0,66,5
Computer Engineering,Crèdits Reconeguts,70007,0.0,0.0,54,5
Computer Engineering,Crèdits Reconeguts,70008,0.0,0.0,26,3
Computer Engineering,Crèdits Reconeguts,70009,0.16086956521739132,0.0,46,5
Computer Engineering,Crèdits Reconeguts,70010,0.19999999999999998,0.0,28,4
Computer Engineering,Crèdits Reconeguts,70011,0.0,0.0,14,4
Computer Engineering,Crèdits Reconeguts,70015,0.0,0.0,50,5
Computer Engineering,Crèdits Reconeguts,70016,0.0,0.0,16,5
Computer Engineering,Crèdits Reconeguts,70017,0.0,0.0,2,2
Computer Engineering,Crèdits Reconeguts,70021,4.914285714285714,7.6,7,2
Computer Engineering,Crèdits Reconeguts,70022,6.4,6.4,1,1
Computer Engineering,Crèdits Reconeguts,70027,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,70028,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,70033,0.42355889724310775,0.0,399,5
Computer Engineering,Crèdits Reconeguts,70034,0.2582781456953642,0.0,151,5
Computer Engineering,Crèdits Reconeguts,70035,0.31698113207547174,0.0,53,5
Computer Engineering,Crèdits Reconeguts,70039,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,70042,2.7,2.7,2,2
Computer Engineering,Crèdits Reconeguts,70043,5.3,5.3,1,1
Computer Engineering,Crèdits Reconeguts,70051,2.4447761194029853,0.0,67,5
Computer Engineering,Crèdits Reconeguts,70052,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,70069,0.0,0.0,83,4
Computer Engineering,Crèdits Reconeguts,70090,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,75007,0.0,0.0,16,2
Computer Engineering,Crèdits Reconeguts,75008,0.0,0.0,2,2
Computer Engineering,Crèdits Reconeguts,75009,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,75010,1.0833333333333333,0.0,12,4
Computer Engineering,Crèdits Reconeguts,75011,2.5,2.5,2,2
Computer Engineering,Crèdits Reconeguts,75012,5.4,5.4,1,1
Computer Engineering,Crèdits Reconeguts,75034,0.0,0.0,1,1
Computer Engineering,Crèdits Reconeguts,75035,0.0,0.0,1,1
Computer Engineering,Càlcul,103802,4.44251968503937,5.5,1143,5
Computer Engineering,Disseny de Software,102759,6.156778523489933,6.8,745,5
Computer Engineering,Electricitat i Electrònica,102771,5.961651676206051,6.7,1223,5
Computer Engineering,Enginyeria del Software,102743,5.308202959830867,6.5,946,5
Computer Engineering,Estadística,103803,6.338571428571428,6.9,952,5
